:START_ID,:TYPE,:END_ID
http://example.org/fda/2415290094488947825,hasRecallReason,Lack of Assurance of Sterility
http://example.org/fda/7057521967548770484,hasRecallType,Class II
http://example.org/fda/1996045866837604011,hasRecallReason,CGMP Deviations:
http://example.org/fda/901679399558518357,hasRecallReason,Lack of Processing Controls
http://example.org/fda/6726906532897148136,hasRecallType,Class III
http://example.org/fda/8569436652345104574,hasRecallType,Class II
http://example.org/fda/5273245882125357156,hasRecallType,Class II
http://example.org/fda/822843178695061180,hasRecallType,Class II
http://example.org/fda/5015203132137530886,hasRecallType,Class II
http://example.org/fda/1492905594506216748,hasRecallType,Class II
http://example.org/fda/3387603055611786318,hasRecallType,Class II
http://example.org/fda/3051435568889263899,hasRecallType,Class II
http://example.org/fda/218418596035146660,hasRecallType,Class II
http://example.org/fda/5207682165290960185,hasRecallType,Class II
http://example.org/fda/8921121887376527129,hasRecallReason,CGMP Deviations: Intermittent exposure to temperature excursion during storage.
http://example.org/fda/5273245882125357156,hasRecallReason,Lack of Assurance of Sterility: FDA inspection identified GMP violations potentially impacting product quality and sterility.
http://example.org/fda/4685663675194709031,hasRecallReason,Microbial Contamination of Non-Sterile Product
http://example.org/fda/6561490618600331028,hasRecallType,Class I
http://example.org/fda/7844786567003378540,hasRecallType,Class II
http://example.org/fda/3666104987526979386,hasRecallReason,Product Lacks Stability: Out-of-specification (OOS) results were observed for assay and description in retain samples.
http://example.org/fda/4196377834157244226,hasRecallReason,"Marketed without an approved NDA/ANDA: INK-EEZE Tattoo Numbing Spray contains 5% Lidocaine and is being marketed without an approved NDA/ANDA. Lidocaine 5% is an ingredient in many FDA approved products, making Ink-Eeze an unapproved new drug."
http://example.org/fda/5703919552904791628,hasRecallReason,The firm received seven reports of adverse reactions in the form of skin abscesses potentially linked to compounded preservative-free methylprednisolone 80mg/ml 10 ml vials.
http://example.org/fda/774272886333321849,hasRecallReason,The firm received seven reports of adverse reactions in the form of skin abscesses potentially linked to compounded preservative-free methylprednisolone 80mg/ml 10 ml vials.
http://example.org/fda/5861470992137626602,hasRecallType,Class II
http://example.org/fda/2488446281356045331,hasRecallType,Class II
http://example.org/fda/1092442564719582905,hasRecallType,Class III
http://example.org/fda/1519005063430050576,hasRecallReason,"Lack of Assurance of Sterility: Martin Avenue Pharmacy, Inc. is conducting a voluntary recall of all compounded sterile preparations within expiry. The recall is being initiated in connection with a recent FDA inspection due to observations associated with certain quality control procedures that present a risk to sterility assurance."
http://example.org/fda/1037904823850250812,hasRecallReason,"Marked Without An Approved NDA/ANDA: FDA analysis found these products to contain sildenafil, an FDA approved drug for the treatment of erectile dysfunction, making these products unapproved drugs for which safety and efficacy have not been establish and therefore, subject to recall."
http://example.org/fda/1245406076056372403,hasRecallType,Class II
http://example.org/fda/2912928930397201981,hasRecallType,Class II
http://example.org/fda/3074593630675410906,hasRecallReason,Superpotent Drug: Out Of Specification (OOS) result for Assay.
http://example.org/fda/5101058828775077661,hasRecallReason,Lack of Assurance of Sterility; FDA inspection identified GMP violations potentially impacting product quality and sterility
http://example.org/fda/3308938622265396435,hasRecallType,Class II
http://example.org/fda/3895082885813004196,hasRecallReason,Superpotent Drug: Failure of assay specifications in the capsule.
http://example.org/fda/2799581312305715741,hasRecallType,Class II
http://example.org/fda/5844514905704261192,hasRecallReason,Non-Sterility
http://example.org/fda/3959948659798033064,hasRecallReason,Presence of Particulate Matter: Confirmed customer compliants of finding an insect floating in the primary container of each product.
http://example.org/fda/5979752129384826765,hasRecallReason,Subpotent Drug - Out of specification (OOS) result obtained during monitoring stability study for Assay. Results below specification.
http://example.org/fda/506949931979825049,hasRecallType,Class II
http://example.org/fda/4845119076040711316,hasRecallReason,Presence of Particulate Matter: Customer complaint for an insect found free floating inside a single bag for each lot recalled.
http://example.org/fda/3916088784823844193,hasRecallReason,CGMP Deviations: FDA analysis detected N-Nitrosodimethylamine (NDMA) impurity above the acceptable intake level
http://example.org/fda/5802790398249100682,hasRecallReason,Lack of Assurance of Sterility; all sterile human compounded drugs within expiry
http://example.org/fda/5297499532472708739,hasRecallReason,Labelling: Missing label.
http://example.org/fda/3168254570326074609,hasRecallReason,CGMP Deviations: products manufactured by contract manufacturer under conditions that could result in possible microbial contamination.
http://example.org/fda/5089471053606457807,hasRecallReason,Lack of Assurance of Sterility
http://example.org/fda/8724357199806671045,hasRecallReason,Lack of Assurance of Sterility; all sterile human compounded drugs within expiry
http://example.org/fda/1971520662788227984,hasRecallReason,cGMP deviations: Temperature abuse
http://example.org/fda/2323567000396722020,hasRecallReason,Subpotent Drug: Out of specification result during stability study in Pramipexole Dihydrochloride Tablets 0.125 mg
http://example.org/fda/1112394949398489627,hasRecallType,Class II
http://example.org/fda/8656745747920022999,hasRecallReason,Lack of assurance of sterility: Lack of validation data for sanitization cycles
http://example.org/fda/86570348399702649,hasRecallType,Class II
http://example.org/fda/40524938456871169,hasRecallReason,Lack of Assurance of Sterility
http://example.org/fda/9000806366982265534,hasRecallType,Class II
http://example.org/fda/255089739141511114,hasRecallType,Class II
http://example.org/fda/7874968880731509576,hasRecallType,Class I
http://example.org/fda/8978848376465809181,hasRecallType,Class II
http://example.org/fda/110952495759581795,hasRecallReason,Lack of Processing Controls
http://example.org/fda/5844514905704261192,hasRecallType,Class I
http://example.org/fda/3410941493983630141,hasRecallType,Class II
http://example.org/fda/4374321441451481748,hasRecallType,Class II
http://example.org/fda/8574929738884873953,hasRecallReason,"Microbial contamination of non-sterile products: product was found to contain mold, identified as Rhinocladiella similis."
http://example.org/fda/6591789956895921793,hasRecallType,Class I
http://example.org/fda/666342373472663903,hasRecallType,Class I
http://example.org/fda/3189993510889945638,hasRecallReason,The firm received seven reports of adverse reactions in the form of skin abscesses potentially linked to compounded preservative-free methylprednisolone 80mg/ml 10 ml vials.
http://example.org/fda/3562280194981168888,hasRecallType,Class II
http://example.org/fda/2489972811354781569,hasRecallType,Class II
http://example.org/fda/7162405059949436568,hasRecallReason,Lack of Assurance of Sterility: FDA inspection findings resulted in concerns regarding quality control processes.
http://example.org/fda/4304938930654646794,hasRecallType,Class II
http://example.org/fda/1102023555993887318,hasRecallType,Class II
http://example.org/fda/7730603113499093964,hasRecallType,Class II
http://example.org/fda/1967115692604667357,hasRecallReason,Failed Content Uniformity Specifications
http://example.org/fda/3956845036673805252,hasRecallReason,Lack of sterility assurance
http://example.org/fda/3804091836034310382,hasRecallReason,Penicillin Cross Contamination: All lots of all products repackaged and distributed between 01/05/12 and 02/12/15 are being recalled because they were repackaged in a facility with penicillin products without adequate separation which could introduce the potential for cross contamination with penicillin.
http://example.org/fda/5352190974573840176,hasRecallReason,CGMP Deviations: The Recall is due to the potential cross-contamination at the contract manufacturer (Ultra Tab Laboratories Inc.)
http://example.org/fda/5463466138591010752,hasRecallType,Class II
http://example.org/fda/58162533981096283,hasRecallType,Class II
http://example.org/fda/7234652138346976662,hasRecallType,Class II
http://example.org/fda/1871343900020037406,hasRecallReason,Lack of Assurance of Sterility; FDA inspection identified GMP violations potentially impacting product quality and sterility
http://example.org/fda/7976455593311045907,hasRecallType,Class II
http://example.org/fda/952546189032429376,hasRecallType,Class I
http://example.org/fda/1845224832799557540,hasRecallReason,Lack of Assurance of Sterility; all sterile human compounded drugs within expiry
http://example.org/fda/7156902442997211577,hasRecallType,Class II
http://example.org/fda/2891884722807724437,hasRecallType,Class II
http://example.org/fda/5898399150036708394,hasRecallType,Class II
http://example.org/fda/302162446670228998,hasRecallType,Class II
http://example.org/fda/5902295057588828394,hasRecallType,Class II
http://example.org/fda/5010576779703374844,hasRecallReason,Microbial contamination
http://example.org/fda/9082652135188941729,hasRecallReason,Penicillin Cross Contamination: All lots of all products repackaged and distributed between 01/05/12 and 02/12/15 are being recalled because they were repackaged in a facility with penicillin products without adequate separation which could introduce the potential for cross contamination with penicillin.
http://example.org/fda/3210753272608970587,hasRecallReason,Failed Impurities/Degradation Specifications: out of specification results for the related substances test parameter (impurities).
http://example.org/fda/4733240281040240701,hasRecallType,Class II
http://example.org/fda/7524268140387362390,hasRecallType,Class II
http://example.org/fda/9200830486754588992,hasRecallReason,Lack of Assurance of Sterility
http://example.org/fda/1897051234804533551,hasRecallReason,Lack of Assurance of Sterility
http://example.org/fda/9082652135188941729,hasRecallType,Class II
http://example.org/fda/9184314195971090633,hasRecallReason,Subpotent Drug
http://example.org/fda/2956315119732606276,hasRecallReason,Lack of Assurance of Sterility: Product sterility cannot be guaranteed.
http://example.org/fda/5849567340444636255,hasRecallReason,"GCMP Deviations: FDA analysis confirmed presence of trace amounts of an impurity, N-nitrosodiethylamine (NDEA) found in the API used to manufacture the product."
http://example.org/fda/404888199326523759,hasRecallType,Class I
http://example.org/fda/6780050984056098725,hasRecallReason,CGMP deviations: Ibuprofen is being recalled in response to previous recall
http://example.org/fda/8548358030071668990,hasRecallType,Class II
http://example.org/fda/5690688283863114187,hasRecallType,Class II
http://example.org/fda/3724222658847333314,hasRecallType,Class II
http://example.org/fda/2779807000609768061,hasRecallReason,Defective Delivery System: One lot exceeded the mechanical peel specification
http://example.org/fda/3931842155487905604,hasRecallReason,"Incorrect/Undeclared Excipients: The inactive ingredients labeled on the product boxes and tubes are listed as ""mineral oil , petrolatum "". The inactive ingredients in the actual product are polyethylene glycol 400 , polyethylene glycol 4000."
http://example.org/fda/8071332324481361482,hasRecallReason,"Labeling: Incorrect or Missing Lot and/or Exp Date:The product labels contain a Two-Dimensional ( 2D ) barcode that, when scanned, reveals information specific to the batch of the labeled product, including Expiration Date.  The expiration date included within these 2D barcodes is incorrect and does not match the correct expiration date listed on the face of the label itself."
http://example.org/fda/8569436652345104574,hasRecallReason,The firm received seven reports of adverse reactions in the form of skin abscesses potentially linked to compounded preservative-free methylprednisolone 80mg/ml 10 ml vials.
http://example.org/fda/398713013471504612,hasRecallReason,"Lack of Assurance of Sterility:All sterile products compounded, repackaged, and distributed by this  compounding pharmacy due to lack of sterility assurance and concerns associated with the quality control processes."
http://example.org/fda/4665228673232607514,hasRecallType,Class II
http://example.org/fda/3234473925676585424,hasRecallType,Class II
http://example.org/fda/651690536257417662,hasRecallReason,CGMP Deviations: product held outside appropriate storage temperature conditions.
http://example.org/fda/1341468551903622727,hasRecallType,Class III
http://example.org/fda/2273677172561869419,hasRecallReason,CGMP Deviations: Intermittent exposure to temperature excursion during storage.
http://example.org/fda/3801973635739011813,hasRecallType,Class II
http://example.org/fda/7151230533610376950,hasRecallType,Class II
http://example.org/fda/3601249222347075583,hasRecallReason,"Lack of Assurance of Sterility: The Mentholatum Company has recalled Rohto Arctic, Rohto Ice, Rohto Hydra, Rohto Relief and Rohto Cool eye drops, due to concerns related to the quality assurance of sterility controls."
http://example.org/fda/8435593086707952289,hasRecallType,Class II
http://example.org/fda/7465698963587542716,hasRecallReason,Lack of sterility assurance.
http://example.org/fda/1092442564719582905,hasRecallReason,Superpotent Drug: Out Of Specification (OOS) result for Assay.
http://example.org/fda/6889987536583532215,hasRecallReason,Lack of assurance of sterility.
http://example.org/fda/4440332540343096274,hasRecallType,Class II
http://example.org/fda/1313217515812686071,hasRecallReason,CGMP deviations: Stability testing was not conducted on manufactured sunscreen and hand sanitizer OTC products.
http://example.org/fda/1528684812105043862,hasRecallReason,CGMP Deviations: Firm went out of business and could no longer continue stability studies.
http://example.org/fda/718695925851371717,hasRecallReason,CGMP Deviations: Firm went out of business and could no longer continue stability studies.
http://example.org/fda/1443857192782330487,hasRecallReason,Failed dissolution specification: The dissolution test at the 24 month time point (end of shelf life) yielded an out of specification result.
http://example.org/fda/655325061961036829,hasRecallType,Class II
http://example.org/fda/1974181984681623483,hasRecallType,Class II
http://example.org/fda/4040241833474742646,hasRecallType,Class II
http://example.org/fda/8174232672460765929,hasRecallType,Class II
http://example.org/fda/5332580006076973578,hasRecallType,Class II
http://example.org/fda/4245305720532755595,hasRecallType,Class III
http://example.org/fda/3387603055611786318,hasRecallReason,CGMP Deviations: Born Basic Anti Bac was found to be below the label claim for ethanol content and contained methanol. Other products were recalled because they were manufactured in the same facility as the product found to contain methanol.
http://example.org/fda/3450213514466554403,hasRecallType,Class II
http://example.org/fda/6126084707546764376,hasRecallType,Class II
http://example.org/fda/1832401432115232977,hasRecallType,Class II
http://example.org/fda/5397927486643087974,hasRecallType,Class II
http://example.org/fda/3102873805890494037,hasRecallType,Class II
http://example.org/fda/8189869196326965490,hasRecallReason,"Labeling: Label Mixup: SOTALOL HCL, Tablet, 80 mg may have potentially been mislabeled as one of the following drugs:  DILTIAZEM HCL, Tablet, 120 mg, NDC 00093032101, Pedigree: AD30197_1, EXP: 5/9/2014;  PROPRANOLOL HCL ER, Capsule, 60 mg, NDC 00228277811, Pedigree: AD54605_4, EXP: 5/20/2014."
http://example.org/fda/8098353610739422367,hasRecallType,Class II
http://example.org/fda/5127818400268238480,hasRecallType,Class II
http://example.org/fda/9106876328622668730,hasRecallReason,Marketed without an Approved NDA/ANDA; IM and SQ injectable products are being recalled because the manufacturing firm is not registered with the FDA as a drug manufacturer
http://example.org/fda/7471073216436811476,hasRecallType,Class II
http://example.org/fda/4405402144467774050,hasRecallType,Class II
http://example.org/fda/6774284630670253980,hasRecallReason,Microbial contamination
http://example.org/fda/3674046587181268177,hasRecallReason,"CGMP Deviations: Hydroxyzine Pamoate Capsules, USP, 100 mg were manufactured using an unapproved material: API was incorrectly released for use in manufacturing."
http://example.org/fda/6298535418388525736,hasRecallType,Class II
http://example.org/fda/5605912935943993728,hasRecallType,Class II
http://example.org/fda/3056941766737402743,hasRecallType,Class II
http://example.org/fda/1234977498889291382,hasRecallType,Class II
http://example.org/fda/4665228673232607514,hasRecallReason,Lack of Processing Controls.
http://example.org/fda/5721101016892001380,hasRecallType,Class II
http://example.org/fda/2431059756439988228,hasRecallType,Class III
http://example.org/fda/5397927486643087974,hasRecallReason,Lack of Assurance of Sterility
http://example.org/fda/4576116828039010355,hasRecallType,Class II
http://example.org/fda/5481585765602254140,hasRecallType,Class II
http://example.org/fda/6967552668902703089,hasRecallReason,Presence of particulate matter - this recall is due to a recent Hospira recall of vancomyicn hydrochloride 10gm vials due to presence of particulate matter.
http://example.org/fda/3489812868828694491,hasRecallReason,Penicillin Cross Contamination: All lots of all products repackaged and distributed between 01/05/12 and 02/12/15 are being recalled because they were repackaged in a facility with penicillin products without adequate separation which could introduce the potential for cross contamination with penicillin.
http://example.org/fda/3056941766737402743,hasRecallReason,Lack of Assurance of Sterility: FDA inspection identified GMP violations potentially impacting product quality and sterility.
http://example.org/fda/6615831894161208796,hasRecallType,Class II
http://example.org/fda/8311842944573328195,hasRecallType,Class II
http://example.org/fda/4589070736164723439,hasRecallReason,Lack of sterility assurance.
http://example.org/fda/6204813206019224221,hasRecallReason,"Chemical Contamination: Novartis Pharmaceuticals Corporation has recalled physician sample bottles of Diovan, Exforge, Exforge HCT,Lescol XL, Stalevo, Tekturna and Tekturna HCT Tablets due to contamination with Darocur 1173 a photocuring agent used in inks on shrink-wrap sleeves."
http://example.org/fda/3203142304938622972,hasRecallReason,Labeling: Incorrect or Missing Package Insert: authorized generic product was packaged with the incorrect insert for the brand name product Clolar (clofarabine) injection.
http://example.org/fda/3659390904870772626,hasRecallType,Class I
http://example.org/fda/2659203345960568091,hasRecallReason,The firm received seven reports of adverse reactions in the form of skin abscesses potentially linked to compounded preservative-free methylprednisolone 80mg/ml 10 ml vials.
http://example.org/fda/293723083197211011,hasRecallType,Class II
http://example.org/fda/5500308585260750163,hasRecallReason,Presence of Particulate Matter: API contaminated with glass particulate was used to produce sterile injectable drugs.
http://example.org/fda/5036334514835396096,hasRecallType,Class II
http://example.org/fda/7733637645331361270,hasRecallType,Class II
http://example.org/fda/4845119076040711316,hasRecallType,Class I
http://example.org/fda/3220566464553225985,hasRecallType,Class II
http://example.org/fda/8094415693636661494,hasRecallReason,Lack of Assurance of Sterility: Franck's Lab Inc. initiated a recall of all Sterile Human Drugs distributed between 11/21/2011 and 05/21/2012 because FDA environmental sampling revealed the presence of microorganisms and fungal growth in the clean room where sterile products were prepared.
http://example.org/fda/4963507298550423603,hasRecallReason,CGMP Deviations: recalling drug products following an FDA inspection.
http://example.org/fda/8006955713321384004,hasRecallType,Class II
http://example.org/fda/2593560516793204124,hasRecallType,Class II
http://example.org/fda/4828232917996212801,hasRecallReason,"cGMP deviations; After quality review of stability failures in previous lots, there is insufficient data to determine that other lots are not affected."
http://example.org/fda/6768837804852047112,hasRecallType,Class III
http://example.org/fda/9092921149638678407,hasRecallType,Class II
http://example.org/fda/1646071971136916371,hasRecallReason,The firm received seven reports of adverse reactions in the form of skin abscesses potentially linked to compounded preservative-free methylprednisolone 80mg/ml 10 ml vials.
http://example.org/fda/4240272725379959,hasRecallType,Class III
http://example.org/fda/7337733855620927115,hasRecallReason,CGMP Deviations: Next Advanced Antibacterial Hand Sanitizer was found to be below the label claim for ethanol content and contained methanol. Other products were recalled because they were manufactured in the same facility as the product found to contain methanol.
http://example.org/fda/7188674135987218275,hasRecallReason,Lack of Assurance of Sterility: Bags have the potential to leak.
http://example.org/fda/4844153180812288449,hasRecallReason,Lack of Assurance of Sterility; FDA inspection identified GMP violations potentially impacting product quality and sterility
http://example.org/fda/4220185341973768704,hasRecallType,Class II
http://example.org/fda/8385887789433874617,hasRecallType,Class III
http://example.org/fda/880552124706594358,hasRecallReason,Lack of Assurance of Sterility: incomplete or missing data regarding production.
http://example.org/fda/8862034963755189664,hasRecallType,Class II
http://example.org/fda/6594291594566370481,hasRecallType,Class II
http://example.org/fda/2972075183889940338,hasRecallReason,"Chemical Contamination: Novartis Pharmaceuticals Corporation has recalled physician sample bottles of Diovan, Exforge, Exforge HCT,Lescol XL, Stalevo, Tekturna and Tekturna HCT Tablets due to contamination with Darocur 1173 a photocuring agent used in inks on shrink-wrap sleeves."
http://example.org/fda/1827800446294855597,hasRecallReason,Labeling: Label Error on Declared Strength- Unopened bottles of Ropinirole USP 3 mg tablets was found to be incorrectly labeled as Ropinirole USP 4 mg tablets..
http://example.org/fda/870307617136949255,hasRecallReason,Failed Dissolution Specifications-out-of-specification (OOS) test results observed for dissolution at the 6 month long term time point.
http://example.org/fda/6632254654122552851,hasRecallReason,Failed Stability Specifications: The subject lots exhibited OOS results for Homogeneity test (Moderate separation).
http://example.org/fda/7194270257118630941,hasRecallReason,Discoloration: Expansion of an earlier recall due to the presence of dark brown discoloration on the edges of the tablets.
http://example.org/fda/4344357535919148593,hasRecallReason,Subpotent Drug: Out Of Specification results for assay at the stability time-point of 24 months.
http://example.org/fda/1740694425964999632,hasRecallReason,"Chemical Contamination: FDA analysis found the product to contain methanol, acetaldehyde, and acetal above the limits."
http://example.org/fda/1740694425964999632,hasRecallType,Class I
http://example.org/fda/3955711492672179027,hasRecallType,Class II
http://example.org/fda/6344935714792076254,hasRecallReason,Superpotent Drug: Confirmed customer complaint of a single unit dose blister cavity containing 2 OXYCODONE HCl 5 mg tablets.
http://example.org/fda/8021671372545143323,hasRecallReason,Lack of Processing Controls
http://example.org/fda/950430504400370474,hasRecallReason,Lack of Assurance of Sterility: FDA inspection found the recalled products were produced in a manner than cannot guarantee the sterility of the products purported to be sterile.
http://example.org/fda/4873357824879196798,hasRecallReason,Presence of particulate matter.one confirmed  customer report of particulate matter within two semi-rigid bottles identified prior to use
http://example.org/fda/216698950834597024,hasRecallReason,CGMP Deviations: products manufactured by contract manufacturer under conditions that could result in possible microbial contamination.
http://example.org/fda/1559866602416670158,hasRecallType,Class II
http://example.org/fda/2350899368413010206,hasRecallReason,Marketed Without An Approved NDA/ANDA: FDA analysis of this product found it to contain undeclared steroids and steroid-like substances making this an unapproved new drug.
http://example.org/fda/4804309526329761421,hasRecallReason,Marketed without an Approved NDA/ANDA; product was found to contain undeclared sibutramine & phenolphthalein
http://example.org/fda/7495054917327794968,hasRecallType,Class II
http://example.org/fda/3161334286730679621,hasRecallReason,"Lack of Assurance of Sterility: Martin Avenue Pharmacy, Inc. is conducting a voluntary recall of all compounded sterile preparations within expiry. The recall is being initiated in connection with a recent FDA inspection due to observations associated with certain quality control procedures that present a risk to sterility assurance."
http://example.org/fda/932893144448276626,hasRecallReason,cGMP violations noted during the firm's most recent inspection.
http://example.org/fda/8659539876560996281,hasRecallReason,Lack of Assurance of Sterility; FDA inspection identified GMP violations potentially impacting product quality and sterility
http://example.org/fda/1719221022662843765,hasRecallReason,Superpotent and Subpotent drugs
http://example.org/fda/3231271667348113452,hasRecallReason,CGMP Deviations:OOS result was observed in 1-Methyl-4-Nitroso Piperazine (MNP) impurity.
http://example.org/fda/5152088132319480937,hasRecallType,Class II
http://example.org/fda/5303975491330534363,hasRecallType,Class II
http://example.org/fda/3495195552292565427,hasRecallType,Class II
http://example.org/fda/4538705385324184281,hasRecallReason,Lack of Assurance of Sterility: FDA inspection findings resulted in concerns regarding quality control processes
http://example.org/fda/1655000515399706742,hasRecallType,Class III
http://example.org/fda/1359675142966164878,hasRecallType,Class III
http://example.org/fda/3337889018660385238,hasRecallType,Class III
http://example.org/fda/7819120239039670232,hasRecallReason,Non-Sterility: Out of specification results for the sterility test for microbial contamination.
http://example.org/fda/1804800381222757155,hasRecallReason,Lack of Assurance of Sterility:Lack of validation data for sanitization cycles
http://example.org/fda/1860176053121681754,hasRecallReason,Microbial Contamination of Non-Sterile Products; Selected lots of Badger Baby and Kids Sunscreen Lotion were recalled due to microbial contamination.
http://example.org/fda/4017699896438512588,hasRecallType,Class II
http://example.org/fda/3787001343421867089,hasRecallType,Class II
http://example.org/fda/1393979656638794139,hasRecallType,Class II
http://example.org/fda/190620534637121135,hasRecallType,Class II
http://example.org/fda/6752953146064825680,hasRecallReason,Lack of Assurance of Sterility
http://example.org/fda/1707404593015143996,hasRecallReason,Subpotent Drug.
http://example.org/fda/6586354867033757226,hasRecallReason,Microbal Contamination of Non-Sterile Product; FDA analysis found  salmonella contamination
http://example.org/fda/5456037845297307013,hasRecallReason,Lack of Assurance of Sterility
http://example.org/fda/6848513816747356216,hasRecallType,Class II
http://example.org/fda/3160872010014452108,hasRecallType,Class II
http://example.org/fda/8126651517536332120,hasRecallReason,Lack of Sterility Assurance.
http://example.org/fda/773622596342044557,hasRecallType,Class II
http://example.org/fda/7604283748251002757,hasRecallReason,Lack of Processing Controls
http://example.org/fda/6646779126803047045,hasRecallReason,Lack of Assurance of Sterility: FDA inspection findings resulted in concerns regarding quality control processes
http://example.org/fda/6591725625998264168,hasRecallReason,Failed Tablet/Capsule Specifications: Recall due to wet and/or leaking capsules.
http://example.org/fda/6070568976331964791,hasRecallReason,Lack of Assurance of Sterility
http://example.org/fda/3210046755733514833,hasRecallType,Class II
