status,city,state,country,classification,product_type,event_id,recalling_firm,address_1,address_2,postal_code,voluntary_mandated,initial_firm_notification,distribution_pattern,recall_number,product_description,product_quantity,reason_for_recall,recall_initiation_date,center_classification_date,termination_date,report_date,code_info,openfda.application_number,openfda.brand_name,openfda.generic_name,openfda.manufacturer_name,openfda.product_ndc,openfda.product_type,openfda.route,openfda.substance_name,openfda.rxcui,openfda.spl_id,openfda.spl_set_id,openfda.package_ndc,openfda.is_original_packager,openfda.unii,more_code_info,openfda.upc,openfda.nui,openfda.pharm_class_moa,openfda.pharm_class_epc,openfda.pharm_class_cs,openfda.original_packager_product_ndc,openfda.pharm_class_pe,clean_description
Terminated,Dublin,OH,United States,Class II,Drugs,87512,Cardinal Health Inc.,7000 Cardinal Pl,N/A,43017-1091,Voluntary: Firm initiated,Letter,"FL, GA, SC",D-0429-2021,"Edarbi (azilsartan medoxomil) tablets 80 mg 30 Tablets Rx Only NDC 60631-080-30 Manufactured for: arbor Pharmaceuticals Atlanta, GA 30328",328 bottles,CGMP Deviations: Intermittent exposure to temperature excursion during storage.,20210315,20210524,20240617,20210602,78902-1,['NDA200796'],['EDARBI'],['AZILSARTAN KAMEDOXOMIL'],"['Azurity Pharmaceuticals, Inc.']","['60631-040', '60631-080']",['HUMAN PRESCRIPTION DRUG'],['ORAL'],['AZILSARTAN KAMEDOXOMIL'],"['1091646', '1091650', '1091652', '1091654']",['2f63b0e8-977a-4d22-9550-29ad1926a9de'],['52b27c75-9f5a-4816-bafd-dace9d7d2063'],"['60631-040-07', '60631-040-30', '60631-040-77', '60631-080-07', '60631-080-30', '60631-080-77']",[True],,,"['0360631080308', '0360631040302']",,,,,,,"edarbi (azilsartan medoxomil) tablets 80 mg 30 tablets rx only ndc 60631-080-30 manufactured for: arbor pharmaceuticals atlanta, ga 30328"
Terminated,Knoxville,TN,United States,Class II,Drugs,71371,The Compounding Pharmacy of America,6216 Highland Place Way Ste 101-A,,37919-4068,Voluntary: Firm initiated,Telephone,Nationwide,D-1519-2015,"HCG 1,100 IU/ml Injection, Multi-Dose Vial, Sterile, Refrigerate The Compounding Pharmacy of America, Knoxville, TN",1558 ml total,Lack of Assurance of Sterility; FDA inspection identified GMP violations potentially impacting product quality and sterility,20150602,20150915,20160210,20150923,"All lots distributed between November 2014 and May 2015;  05062015@32, 8/4/2015; 02272015@16, 5/28/2015; 03032015@33, 6/1/2015; 03042015@36, 6/2/2015; 03062015@43, 6/4/2015; 03092015@77, 6/7/2015; 03092015@92, 6/7/2015; 03132015@17, 11/2015; 03162015@23, 14/2015; 03172015@40, 5/2015; 03232015@39, 6/21/2015; 03242015@23, 6/22/2015; 03242015@29, 6/22/2015; 04162015@46, 7/15/2015; 04012015@8, 6/30/2015; 04062015@10, 7/5/2015; 04072015@17, 7/6/2015; 04142015@2, 7/13/2015; 04132015@34, 7/12/2015; 04202015@45, 7/19/2015; 04172015@63, 7/16/2015; 04272015@5, 7/26/2015; 05082015@44, 8/6/2015",,,,,,,,,,,,,,,,,,,,,,,"hcg 1,100 iu/ml injection, multi-dose vial, sterile, refrigerate the compounding pharmacy of america, knoxville, tn"
Terminated,Eatontown,NJ,United States,Class II,Drugs,67022,West-Ward Pharmaceutical Corp.,465 Industrial Way W,N/A,07724-2209,Voluntary: Firm initiated,Letter,Nationwide,D-367-2014,"Carisoprodol Tablets, USP 350 mg, Rx Only, 1000 tablets.  Dist by: West-ward Pharmaceutical Corp. Eatontown, NJ 07724. Mfd by: Shasun Chemicals and Drugs Limited, Unit II, R. S. Na 32, 33, 743 PIMS Rd, Periyakalepet, Pondicherry. 605014 INDIA. NDC 0143-9749-10.","20,534 bottles","Presence of Foreign Substance; heavy metals (chromium, titanium etc) and inactive components of the product were visually observed during routine stability testing",20131107,20131216,20140814,20131225,"NDC 0143-9749-10  Lot: 1) 10BR001B, Exp Aug-2014  2) 10BR002B, Exp Aug-2014 3) 10BR003B Exp, Aug-2014 4) 10BR004B Exp, Aug-2014  5) 10BR005B Exp, Aug-2014 6) 10BR006B Exp, Aug-2014 7) 11BR001B Exp, Aug-2014 8) 11BR002B Exp, Jul-2015 9) 11BR003B Exp, Jul-2015  10) 11BR004B Exp, Jul-2015  11) 11BR005B Exp, Jul-2015 12) 11BR006B Exp, Jul-2015",,,,,,,,,,,,,,,,,,,,,,,"carisoprodol tablets, usp 350 mg, rx only, 1000 tablets.  dist by: west-ward pharmaceutical corp. eatontown, nj 07724. mfd by: shasun chemicals and drugs limited, unit ii, r. s. na 32, 33, 743 pims rd, periyakalepet, pondicherry. 605014 india. ndc 0143-9749-10."
Terminated,Dublin,OH,United States,Class II,Drugs,89450,CARDINAL HEALTHCARE,7200 Cardinal Pl W,,43017-1094,Voluntary: Firm initiated,Letter,Nationwide USA,D-0179-2024,"Enoxaparin Sodium Injection, USP, 150MG/ML Single-Dose Syringes with Automatic Safety Device, For Subcutaneous Injection, Ten 1 mL Syringes per box, Rx Only, Sandoz Inc, Princeton, NJ 08540.  NDC: 0781-3299-69",2 units,CGMP Deviations: Products were exposed to temperatures outside of the products labeled storage conditions.,20220126,20231226,20240929,20240103,Batch SAH06821A,['ANDA077857'],['ENOXAPARIN SODIUM'],['ENOXAPARIN SODIUM'],['Sandoz Inc'],"['0781-3238', '0781-3246', '0781-3256', '0781-3262', '0781-3268', '0781-3298', '0781-3299']",['HUMAN PRESCRIPTION DRUG'],['SUBCUTANEOUS'],['ENOXAPARIN SODIUM'],"['854228', '854235', '854238', '854241', '854245', '854248', '854252']",['82c50153-58b8-4c35-8fc2-1d9b3d3ac7de'],['38f60bd8-b518-4098-a808-b8f5a3ae6a3a'],"['0781-3238-01', '0781-3238-63', '0781-3246-02', '0781-3246-64', '0781-3256-03', '0781-3256-66', '0781-3262-04', '0781-3262-68', '0781-3268-05', '0781-3268-69', '0781-3298-04', '0781-3298-68', '0781-3299-05', '0781-3299-69']",[True],['8NZ41MIK1O'],,,,,,,,,"enoxaparin sodium injection, usp, 150mg/ml single-dose syringes with automatic safety device, for subcutaneous injection, ten 1 ml syringes per box, rx only, sandoz inc, princeton, nj 08540.  ndc: 0781-3299-69"
Terminated,Olive Branch,MS,United States,Class I,Drugs,80719,Westminster Pharmaceuticals LLC,1 & 2,154 Downing Street,38654,Voluntary: Firm initiated,Letter,Nationwide in the USA and Puerto Rico,D-1178-2018,"Levothyroxine and Liothyronine (Thyroid Tablets, USP), 1 grain (60 mg), 100-count bottles, Rx Only, Manufactured for: Westminster Pharmaceuticals, LLC, 154 Downing Street, Unit 1 & 2, Olive Branch, MS 38654, NDC 69367-156-04.",Unknown,"Failed Content Uniformity Specifications: Product was manufactured using an adulterated active pharmaceutical ingredient; additionally, lack of process controls and good manufacturing practices resulted in finished product failing content uniformity specifications which can result in a product having a strength that is more or less than is labeled.",20180803,20180907,20200603,20180829,"Lot #: 15617VP03, 15617VP01, 15617VP-02, Exp 7/31/2019;  15617VP06, 15617VP05, Exp 11/30/2019; 15617VP04, 15618004, 15618002, Exp 12/31/2019; 15618009, 15618008, Exp 2/29/2020; 15618011, Exp 3/31/2020.",,,,,,,,,,,,,,,,,,,,,,,"levothyroxine and liothyronine (thyroid tablets, usp), 1 grain (60 mg), 100-count bottles, rx only, manufactured for: westminster pharmaceuticals, llc, 154 downing street, unit 1 & 2, olive branch, ms 38654, ndc 69367-156-04."
Terminated,Boca Raton,FL,United States,Class II,Drugs,78553,"KRS Global Biotechnology, Inc",791 Park of Commerce Blvd Ste 600,N/A,33487-3633,Voluntary: Firm initiated,Letter,"Nationwide in the USA, Bermuda, and New Zealand",D-0176-2018,"Human Chorionic Gonadotropin 6,000 iu/Vial, For SC Use -Lyophilized, Rx Only, KRS Global Biotechnology, 791 Park of Commerce Blvd, Boca Raton, FL 33487.","2,239 vials",Labeling: Incorrect or Missing Lot and/or Exp Date: Beyond Use Date (BUD) exceed the BUD/EXP of at least one ingredient used to make final product.,20171116,20180108,20200511,20180117,Lot: 08302017@11 BUD: 2/26/2018,,,,,,,,,,,,,,,,,,,,,,,"human chorionic gonadotropin 6,000 iu/vial, for sc use -lyophilized, rx only, krs global biotechnology, 791 park of commerce blvd, boca raton, fl 33487."
Completed,Chesapeake,VA,United States,Class II,Drugs,91466,Sentara Infusion Services,535 Independence Pkwy Ste 300,N/A,23320-5176,Voluntary: Firm initiated,Telephone,Dispensed to Patients Nationwide.,D-0296-2023,"HYDROMORPHONE (a) 1MG/ML IN NS,  50ML, 75 ML, 100ML, 175ML(NDC 00703-0018-01 and NDC 00409-2634-50) ; (b) 5MG/ML IN NS 60ML, 100ML, 250ML; pain, Rx only, used with a Curlin pump or no pump, Sentara Home Infusion Pharmacy Services, 535 Independence Pkwy, Ste 300, Chesapeake, VA 23320, NDC# 00409-2634-50",37 bags,Lack of sterility assurance,20221227,20230215,,20230222,"Beyond Use Date: December 24-31, 2022",,,,,,,,,,,,,,,,,,,,,,,"hydromorphone (a) 1mg/ml in ns,  50ml, 75 ml, 100ml, 175ml(ndc 00703-0018-01 and ndc 00409-2634-50) ; (b) 5mg/ml in ns 60ml, 100ml, 250ml; pain, rx only, used with a curlin pump or no pump, sentara home infusion pharmacy services, 535 independence pkwy, ste 300, chesapeake, va 23320, ndc# 00409-2634-50"
Terminated,Knoxville,TN,United States,Class II,Drugs,71371,The Compounding Pharmacy of America,6216 Highland Place Way Ste 101-A,,37919-4068,Voluntary: Firm initiated,Telephone,Nationwide,D-1744-2015,"Testosterone 20 mg, Sterile Pellet, The Compounding Pharmacy of America, Knoxville, TN",24 pellets,Lack of Assurance of Sterility; FDA inspection identified GMP violations potentially impacting product quality and sterility,20150602,20150915,20160210,20150923,"All lots distributed between November 2014 and May 2015;  03032015@43, 8/30/2015",,,,,,,,,,,,,,,,,,,,,,,"testosterone 20 mg, sterile pellet, the compounding pharmacy of america, knoxville, tn"
Terminated,Vancouver,WA,United States,Class II,Drugs,65707,"Aidapak Services, LLC",14301 Se 1st St,,98684-3501,Voluntary: Firm initiated,Telephone,"Repacked drugs were distributed in Arizona, California, Oregon, and Washington.",D-518-2014,"FAMOTIDINE Tablet, 20 mg, Over The Counter, Distributed by: AidaPak Service, LLC, NDC 16714036104",700 Tablets,"Labeling: Label Mixup; FAMOTIDINE Tablet, 20 mg may be potentially mislabeled as    CARVEDILOL PHOSPHATE ER, Capsule, 20 mg, NDC 00007337113, Pedigree: W003225, EXP: 6/17/2014;  DULoxetine HCl DR, Capsule, 20 mg, NDC 00002323560, Pedigree: W003506, EXP: 6/21/2014;  FAMOTIDINE, Tablet, 20 mg, NDC 16714036104, Pedigree: W003507, EXP: 6/21/2014;  MYCOPHENOLATE MOFETIL, Capsule, 250 mg, NDC 0037822500",20130702,20140116,20140207,20140122,"FAMOTIDINE Tablet, 20 mg has the following codes    Pedigree: W003226, EXP: 6/17/2014;  Pedigree: W003507, EXP: 6/21/2014;  Pedigree: W003508, EXP: 6/21/2014;  Pedigree: W003764, EXP: 6/26/2014;  Pedigree: W003406, EXP: 6/19/2014.",,,,,,,,,,,,,,,,,,,,,,,"famotidine tablet, 20 mg, over the counter, distributed by: aidapak service, llc, ndc 16714036104"
Terminated,Asbury Park,NJ,United States,Class II,Drugs,78991,Flawless Beauty LLC,1215 Main St,N/A,07712-5940,Voluntary: Firm initiated,Press Release,Product was distributed U.S.A. nationwide.,D-0333-2018,Ling Zhi capsules,N/A,"Marketed Without An Approved NDA/ANDA: Flawless Beauty, LLC is voluntarily recalling all lots of different products sold individually or as part of multi-unit kits in accordance with Consent Decree of Permanent Injunction ordered by the United States District Court due to misbranding and unapproved new drugs pursuant to the FD&C Act.",20180119,20180205,20180913,20180214,all lots,,,,,,,,,,,,,,,,,,,,,,,ling zhi capsules
Ongoing,Dawsonville,GA,United States,Class II,Drugs,92054,Direct Rx,94 Worldwide Dr,,30534-6828,Voluntary: Firm initiated,Letter,Nationwide in the USA,D-0508-2023,"Alprazolam C-IV, 1 mg, packaged in a) 30 Tabs per bottle, NDC 72189-213-30; b) 60 Tabs per bottle, NDC 72189-213-60; Rx only, Packaged and Distributed By: Direct Rx Dawsonville, GA 30534.",349 bottles,CGMP Deviations: Repackaging firm recalling due to potential product cross contamination concerns at the manufacturer.,20230322,20230406,,20230412,"Lots: a) 03FE2318, Exp. 8/31/24; b) 27FE2315, 28FE2313, 02MA2306, 21SE2201, 16NO2216, 17NO2216, 24FA2314, Exp. 8/31/24; 17FE2203, 12AP2204, 17MA2205, Exp. 3/31/23; 21JU2206, 22JU2220, 12JY2206, Exp. 5/31/23; 10AU2209, Exp. 6/30/23; 14DE2215, Exp. 9/30/24; 05JA2304, 27JA2301, Exp. 11/30/24.",,,,,,,,,,,,,,,,,,,,,,,"alprazolam c-iv, 1 mg, packaged in a) 30 tabs per bottle, ndc 72189-213-30; b) 60 tabs per bottle, ndc 72189-213-60; rx only, packaged and distributed by: direct rx dawsonville, ga 30534."
Terminated,Brookhaven,NY,United States,Class II,Drugs,85386,"Amneal Pharmaceuticals of New York, LLC",50 Horseblock Rd,N/A,11719-9509,Voluntary: Firm initiated,Press Release,Nationwide,D-1253-2020,"Nizatidine Oral Solution, 15 mg/mL (75 mg/5mL) USP 480 mL bottles, Rx Only Distributed by: Gemini Laboratories, LLC Bridgewater, NJ 08807 NDC 60846-301-15",11258 bottles,CGMP Deviations: potential N-Nitrosodimethylamine (NDMA) amounts above levels established by the FDA.,20200415,20200424,20210908,20200506,06598004A 04/2020  06599001A 12/2020  06599002A 12/2020,['ANDA090576'],['NIZATIDINE'],['NIZATIDINE'],['Amneal Pharmaceuticals LLC'],['60846-301'],['HUMAN PRESCRIPTION DRUG'],['ORAL'],['NIZATIDINE'],['476872'],['aedc4160-2165-451e-8a3b-26d3bb911242'],['39e62997-8781-449a-e054-00144ff88e88'],['60846-301-15'],[True],['P41PML4GHR'],,,"['N0000000151', 'N0000175784']",['Histamine H2 Receptor Antagonists [MoA]'],['Histamine-2 Receptor Antagonist [EPC]'],,,,"nizatidine oral solution, 15 mg/ml (75 mg/5ml) usp 480 ml bottles, rx only distributed by: gemini laboratories, llc bridgewater, nj 08807 ndc 60846-301-15"
Terminated,Lincoln,NE,United States,Class II,Drugs,65422,Novartis Consumer Health,10401 Hwy 6,N/A,68517-9626,Voluntary: Firm initiated,Letter,"Nationwide, Puerto Rico, Brazil and Panama",D-844-2013,"Excedrin Migraine (Acetaminophen 250 mg, Aspirin (NSAID) 250 mg and Caffeine 65 mg), a) 2-count tablets packaged in pouches, Distributed by Novartis Consumer Health, Inc., Parsippany, NJ, NDC 0067 203 702     Foreign packaging: b) Excedrin Migrana (Acetaminophen 250 mg, Aspirin 250 mg and 65 mg Caffeine) 2-ct pouches.  The foreign packaging do not have NDC numbers","10,624,000 pouches",Defective container: products are packaged in pouches which may not have been fully sealed,20130606,20130806,20141104,20130814,"Lot  # a) 10116809, Exp 5/13    Foreign: Lot #s b) 10115644 Exp 5/13; 10118226 Exp 5/13; 10118227 Exp 6/13; 10118228  Exp 6/13; 10121956 Exp 8/13 and 10121957 Exp 8/13",,,,,,,,,,,,,,,,,,,,,,,"excedrin migraine (acetaminophen 250 mg, aspirin (nsaid) 250 mg and caffeine 65 mg), a) 2-count tablets packaged in pouches, distributed by novartis consumer health, inc., parsippany, nj, ndc 0067 203 702     foreign packaging: b) excedrin migrana (acetaminophen 250 mg, aspirin 250 mg and 65 mg caffeine) 2-ct pouches.  the foreign packaging do not have ndc numbers"
